PK,CCR,HIERARCHY,INCIDENTTIME,INCIDENTLOCATION,CLEAREDFLAG,INCIDENTNEIGHBORHOOD,INCIDENTZONE,INCIDENTHIERARCHYDESC,OFFENSES,INCIDENTTRACT,COUNCIL_DISTRICT,PUBLIC_WORKS_DIVISION,X,Y
214391346,19221141,99,2019-10-29T22:08:00,"W North Ave & Federal St N Pittsburgh, PA 15212",Y,Allegheny Center,1,DUI - GENERAL IMPAIRMENT,9501 Bench Warrant / 1543 Driving While Operating Privilege is Suspended or Revoked. / 3736 Reckless Driving / 3802(a)(1) DUI - General Impairment / 3322 Vehicle Turning Left.,2204,1,1,-80.0066356663443,40.4554569884448
214393034,19221147,14,2019-10-29T22:23:00,"1300 Block 5th Ave Pittsburgh, PA 15219",Y,Bluff,2,CRIM MISCHIEF,3304 Criminal Mischief.,103,6,3,-79.9881564274288,40.4385460875043
214394000,19221161,6,2019-10-29T22:51:00,"2600 Block Perrysville Ave Pittsburgh, PA 15214",N,Perry South,1,THEFT,3921 Theft by Unlawful Taking or Disposition.,2615,6,1,-80.0084511227419,40.4711827668287
214395194,19221149,27,2019-10-29T22:25:00,"Forbes Ave & Craft Ave Pittsburgh, PA 15213",N,South Oakland,4,HIT AND RUN,3743 Accidents Involving Damage to Attended Veh. or Property / 3732.1 Aggravated Assault by Vehicle / 3746 Immediate Notice of Accident to Police Department,409,6,3,-79.9631148015563,40.437116615652
214397783,19221165,14,2019-10-29T23:16:00,"100 Block 6th St Pittsburgh, PA 15222",Y,Central Business District,2,CRIM MISCHIEF,3304 Criminal Mischief. / 3301 Arson  / 3302 Causing or Risking Catastrophe.,201,6,6,-80.0027419046433,40.4440473749963
214398765,19221189,26,2019-10-30T00:26:00,"2500 Block Penn Ave Pittsburgh, PA 15222",Y,Strip District,2,CRIMINAL TRESPASS,3503 Criminal Trespass,203,7,6,-79.9798226731204,40.4539527961391
214402467,19221240,99,2019-10-30T02:11:00,"100 Block Dawes St Pittsburgh, PA 15210",N,Arlington,3,FOUND PROPERTY,9489 Found Property,1603,1,1,-80.0379253696126,40.4810703259512
214402792,19221310,99,2019-10-30T03:42:00,"400 Block 42nd St Pittsburgh, PA 15201",N,Central Lawrenceville,2,AIDED CASE,9498 302 (Mental) / 9497 Aided Case,902,,,0,0
214403792,19221302,10,2019-10-30T04:06:00,"800 Block Smithton Ave Pittsburgh, PA 15212",N,Marshall-Shadeland,1,SIMPLE ASSAULT,"2701(a)(1) Simple Assault - Intent., Know., Reckless.Cause Bod. Injury / 2718(a)(1) Strangulation - Applying Pressure to the Throat or Neck",2715,1,1,-80.0223044788347,40.4757380265587
-3301021893,19209919,5,2019-10-14T18:00:00,"600 Block Thompson St Pittsburgh, PA 15206",N,Larimer,5,BURGLARY,3502 Burglary.,1204,9,2,-79.9111381056971,40.4652704134442
213770835,19213563,16,2019-10-19T17:32:00,"Oakwood St & Haverhill St Pittsburgh, PA 15221",Y,Homewood South,5,PROSTITUTION,5902(a)(1) Prostitution  / 13(a)(32) Paraphernalia - Use or Possession / 13(a)(16) Possession of Controlled Substance / 4703 Operation of Vehicle without Official Certif. of Inspection / 1332 Display of Registration Plate. / 4706 Prohib. on Expend. for Emission Insp Prog.. / 4524 Windshield Obstructions and Wipers. / 7513 Restriction on Alcoholic Beverages - Open Container / 5902(e) Patronizing a Prostitute,1304,9,2,-79.8847809258029,40.4518593782513
213776088,19213721,18,2019-10-19T21:30:00,"5th Ave & Magee St Pittsburgh, PA 15219",Y,Bluff,2,STOLEN PROPERTY,13(a)(32) Paraphernalia - Use or Possession / 5505 Public Drunkenness,103,6,3,-79.9882696601179,40.438693569526
213796070,19214218,99,2019-10-20T16:28:00,"1500 Block Boyle St Pittsburgh, PA 15212",Y,Central North Side,1,BENCH WARRANT ARREST - NO TIE,9501 Bench Warrant / 4914 False Identification to Law Enforcement Authorities,2206,6,1,-80.0064831409699,40.4584781038921
214104699,19217145,6,2019-10-24T17:53:00,"100 Block Kirk Ave Pittsburgh, PA 15210",N,Carrick,3,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item,2904,,,0,0
214105464,19217227,0,2019-10-24T19:37:00,"2300 Block Brownsville Rd Pittsburgh, PA 15210",N,Carrick,3,99,9999 9999 - (Misc. Incident): Child custody dispute,2904,4,3,-79.9855231716653,40.3890572692795
214208382,19218860,10,2019-10-26T23:40:00,"500 Block Smithfield St Pittsburgh, PA 15222",N,Central Business District,2,SIMPLE ASSAULT,"2709(a)(1) Harassment by Physical Contact, or Attempts or Threats / 2701 Simple Assault.",201,6,6,-79.9981194717119,40.440340041992
214218425,19218968,5,2019-10-27T00:01:00,"900 Block Ahlers Way Pittsburgh, PA 15212",N,East Allegheny,1,BURGLARY,3502 Burglary. / 3921(a) Theft by Unlawful Taking or Disposition - Movable item,2304,,,0,0
214222186,19216984,6,2019-10-24T13:50:00,"7100 Block Kelly St Pittsburgh, PA 15208",N,Homewood South,5,THEFT FROM AUTO,3934 Theft from Vehicle,1303,9,2,-79.8992277746991,40.4560278314367
214222654,19218438,14,2019-10-26T08:00:00,"4800 Block Sciota St Pittsburgh, PA 15224",N,Bloomfield,5,CRIM MISCHIEF,3304 Criminal Mischief.,804,7,2,-79.9473536769492,40.4596738334952
213757811,19213351,27,2019-10-19T11:00:00,"500 Block Oakwood St Pittsburgh, PA 15221",N,East Hills,5,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,1306,9,2,-79.8840865574843,40.4491809229428
213758595,19213386,29,2019-10-19T12:09:00,"Smithfield St Pittsburgh, PA 15222",N,Central Business District,2,RUNAWAYS - JUVENILE,029 Missing Juvenile,201,,,-80.0024134834251,40.4345725552299
213775896,19213710,6,2019-10-19T20:30:00,"Shenley Oval Sportsplex Dr Pittsburgh, PA 15217",N,Squirrel Hill South,4,THEFT FROM AUTO,3934 Theft from Vehicle / 3304 Criminal Mischief.,1413,,,0,0
214160518,19218075,6,2019-10-25T21:45:00,"100 Block Virginia Ave Pittsburgh, PA 15211",N,Mount Washington,3,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item,1914,2,5,-80.0073760146438,40.4294831107355
214378490,19220967,6,2019-10-29T17:00:00,"5900 Block Centre Ave Pittsburgh, PA 15232",N,Shadyside,4,RETSIL THEFT (SHOPLIFTING),"3929(a)(1) Retail Theft; takes possession of, carries away, or transfers displayed merchandise",709,,,0,0
213590951,19208575,0,2019-10-12T23:59:00,"S 17th St & E Carson St Pittsburgh, PA 15203",Y,South Side Flats,3,99,601.12 Interference with Official Duties,1702,3,3,-79.9820508989135,40.4288428977868
213741677,19213162,15,2019-10-19T02:35:00,"S 18th St & Sidney St Pittsburgh, PA 15203",Y,South Side Flats,3,FIREARMS NOT TO BE CARRIED WO LICENSE,6106 Firearms not to be Carried without a License. / 1543 Driving While Operating Privilege is Suspended or Revoked.,1702,3,3,-79.9804717352527,40.429686859093
213761907,19213441,99,2019-10-19T13:42:00,"2500 Block Brighton Rd Pittsburgh, PA 15212",N,Marshall-Shadeland,1,MISCELLANEOUS FIRE OTHER INVEST CONTINUED,9123 Miscellaneous Fire Other Investigation to Continue,2704,6,1,-80.0250097143295,40.4669232988223
-2983020380,19213501,99,2019-10-19T16:04:00,"2100 Block E Carson St Pittsburgh, PA 15203",N,South Side Flats,3,DEAD ON ARRIVAL (DOA),9496 Dead on Arrival (DOA),1609,3,3,-79.9760719669211,40.4283146103025
213998446,19216325,27,2019-10-23T15:03:00,"Baum Blvd & Morewood Ave Pittsburgh, PA 15213",N,Bloomfield,5,HIT AND RUN,3743 Accidents Involving Damage to Attended Veh. or Property,804,7,2,-79.9452166626361,40.4549778694509
214006266,19216570,6,2019-10-23T16:40:00,"Smithfield  St & 5th Ave Pittsburgh, PA 15222",N,Central Business District,2,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item,201,6,6,-79.9986492578242,40.4400935862419
214103858,19217270,99,2019-10-24T20:57:00,"S 18th St & St Patrick St Pittsburgh, PA 15203",N,South Side Slopes,3,AIDED CASE,9497 Aided Case,1706,3,3,-79.9822109347842,40.4213531592332
213442346,19209946,4,2019-10-14T19:55:00,"Forbes Ave & Moultrie St Pittsburgh, PA 15219",N,Bluff,2,AGG-ASSAULT,2702 Aggravated Assault. / 2705 Recklessly Endangering Another Person. / 2707 Propulsion of Missiles ,103,6,3,-79.9744933841908,40.4372049738672
213736322,19213016,6,2019-10-18T21:45:00,"2400 Block Hayson Ave Pittsburgh, PA 15220",N,Banksville,6,THEFT,"3924 Theft of Property Lost, Mislaid or Delivered by Mistake.",2023,2,5,-80.0477552546151,40.4031193127959
-3326002139,19213041,23,2019-10-18T22:39:00,"1700 Block E Carson St Pittsburgh, PA 15203",Y,South Side Flats,3,PUBLIC DRUNKENESS,5505 Public Drunkenness,1702,3,3,-79.9818723137217,40.4285931755253
213740365,19212983,9,2019-10-18T14:30:00,"90 Block N Joslyn Dr Penn Hills, PA 15235",Y,Outside State,OSC,TAMPER WITH/FAB PHYS EVIDENCE,"4910 Tampering with or Fabricating Physical Evidence. / 3925 Receiving Stolen Property. / 13(a)(16) Possession of Controlled Substance / 13(a)(31) Marijuana: Possession Small Amount / 13(a)(32) Paraphernalia - Use or Possession / 6105(a)(1) Persons not to possess, use, manufacture, control, sell or transfer firearms: Former Convict enumerated in subsection (b)",7799,,,-79.80368508375,40.4635788425278
213758132,19212386,10,2019-10-18T02:30:00,"3100 Block liberty Ave Pittsburgh, PA 15201",Y,Polish Hill,2,RESIST ARREST/OTHER LAW ENFORC,"5104 Resisting Arrest or Other Law Enforcement. / 3926(a)(1) Theft of Services; Cable, Gas, Taxi, Bill, Tab, etc. / 5505 Public Drunkenness / 5503 Disorderly Conduct.",605,7,6,-79.970706713169,40.4587868325361
-3319002422,19210505,6,2019-10-15T14:20:00,"5500 Block Centre Ave Pittsburgh, PA 15232",N,Friendship,4,RETAIL THEFT (SHOPLIFTING),3929 Retail Theft.,807,7,2,-79.9364623699551,40.4565877817342
213533350,19210923,10,2019-10-16T01:20:00,"Lighthill St & Reedsdale St Pittsburgh, PA 15233",Y,Chateau,1,RECKLESSLY ENDANGER ANOTH PER,2705 Recklessly Endangering Another Person. / 2701(a)(3) Simple Assault - Attempts by Physical Menace  / 907 Possessing Instruments of Crime.,2108,6,1,-80.0239229698178,40.4486817352708
213675571,19212297,0,2019-10-17T22:20:00,"100 Block Zara St Pittsburgh, PA 15210",Y,Knoxville,3,99,9093 Indirect Criminal Contempt,3001,3,5,-79.9881453342414,40.4159117365192
213679189,19212317,27,2019-10-17T10:00:00,"1800 Block Noblestown Rd Pittsburgh, PA 15205",N,Westwood,6,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,2811,,,0,0
213732431,19212865,3,2019-10-18T18:15:00,"3400 Block Forbes Ave Pittsburgh, PA 15213",Y,Central Oakland,4,ROBBERY,3701 Robbery.,405,3,3,-79.9609006805401,40.4384190708353
213734095,19212984,27,2019-10-18T20:55:00,"400 Block S Main St Pittsburgh, PA 15220",N,West End,6,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,2019,2,5,-80.0331157131111,40.441708122056
213743070,19213149,27,2019-10-19T02:05:00,"Benton Ave & Parviss St Pittsburgh, PA 15212",Y,Brighton Heights,1,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop. / 3714 Careless Driving,2708,1,1,-80.0353234849759,40.4846465537529
213744844,19213217,99,2019-10-19T05:00:00,"downtown Pittsburgh, PA 15222",N,Central Business District,2,FOUND PROPERTY,9489 Found Property,201,6,6,-79.9972184877538,40.4418150567104
213782804,19214005,0,2019-10-20T08:40:00,"3800 Block O Hara St Pittsburgh, PA 15213",N,North Oakland,4,99,9999 9999 - (Misc. Incident): Suspicious Phone Call,403,,,0,0
213799467,19214451,99,2019-10-20T21:16:00,"1000 Block Grand Ave Pittsburgh, PA 15212",N,Marshall-Shadeland,1,AIDED CASE,9497 Aided Case,2715,1,1,-80.0253322888664,40.474992761071
213337140,19208288,5,2019-10-12T13:00:00,"1600 Block Beechwood Blvd Pittsburgh, PA 15217",N,Squirrel Hill North,4,BURGLARY,3502 Burglary.,1403,5,3,-79.9170496423178,40.4404482907731
213361268,19208945,17,2019-10-13T13:55:00,Zone 1,Y,,1,INDECENT EXPOSURE,3127 Indecent Exposure.,,,,,
213331998,19208045,0,2019-10-12T09:00:00,"2300 Block Beechwood Blvd Pittsburgh, PA 15217",N,Squirrel Hill South,4,99,9999 9999 - (Misc. Incident): ,1408,5,3,-79.9141605808913,40.4334619335444
213332333,19207930,23,2019-10-12T02:27:00,"2100 Block Sidney St Pittsburgh, PA 15203",Y,South Side Flats,3,PUBLIC DRUNKENESS,5505 Public Drunkenness / 601.16 Public Urination And Defecation,1609,3,3,-79.9760022588242,40.4292402150963
213361839,19208899,0,2019-10-13T12:26:00,"1100 Block Crane Ave Pittsburgh, PA 15216",N,Banksville,6,99,9998 Overdose Other,2023,2,5,-80.0330751422073,40.4173906811415
213596452,19211503,18,2019-10-16T19:49:00,"Hamilton Ave & N Lang Ave Pittsburgh, PA 15208",Y,Homewood South,5,STOLEN PROPERTY,13(a)(31) Marijuana: Possession Small Amount / 1543 Driving While Operating Privilege is Suspended or Revoked.,1303,9,2,-79.8996457826317,40.4551149736578
213678003,19212301,11,2019-10-17T22:00:00,"2100 Block Brownsville Rd Pittsburgh, PA 15210",N,Carrick,3,THEFT BY DECEPTION,3922 Theft by Deception.,2901,4,3,-79.9865235535491,40.3931998334253
213324886,19207937,5,2019-10-12T01:40:00,"700 Block Maryland Ave Pittsburgh, PA 15232",N,Shadyside,4,BURGLARY,3502 Burglary.,705,8,2,-79.9296148655336,40.4540824458472
213349509,19208560,6,2019-10-12T23:36:00,"400 Block Parklow St Pittsburgh, PA 15210",Y,South Shore,3,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item / 2701 Simple Assault.,3001,3,5,-79.9955694211523,40.4129889184925
213349748,19208588,10,2019-10-13T00:05:00,"300 Block North Shore Dr Pittsburgh, PA 15212",Y,Outside City,1,SIMPLE ASSAULT,"2701(a)(1) Simple Assault - Intent., Know., Reckless.Cause Bod. Injury / 5505 Public Drunkenness / 5503(a)(3) DISORDERLY CONDUCT - OBSCENE LANG/GEST",5599,1,1,-80.0096338538371,40.4549104336875
213436560,19209835,18,2019-10-14T17:12:00,"Bennett St & Hale St Pittsburgh, PA 15221",Y,Homewood South,5,STOLEN PROPERTY,13(a)(31) Marijuana: Possession Small Amount / 9501 Bench Warrant,1304,9,2,-79.8868105120147,40.4542320007818
213438175,19209875,10,2019-10-14T18:15:00,"7th St & Penn Ave Pittsburgh, PA 15222",N,Central Business District,2,SIMPLE ASSAULT,2701 Simple Assault. / 3304 Criminal Mischief.,201,6,6,-80.000262668607,40.4432384882699
213445913,19208002,10,2019-10-12T05:45:00,"500 Block Brookline Blvd Pittsburgh, PA 15226",Y,Brookline,6,HARRASSMENT/THREAT/ATTEMPT/PHY,"2709(a)(1) Harassment by Physical Contact, or Attempts or Threats / 3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another / 5503(a)(3) DISORDERLY CONDUCT - OBSCENE LANG/GEST",1919,4,5,-80.0236345649749,40.3962210607594
213322432,19207866,18,2019-10-12T00:15:00,"Tabor St & Stafford St Pittsburgh, PA 15204",Y,Esplen,6,STOLEN PROPERTY,13(a)(31) Marijuana: Possession Small Amount / 4703 Operation of Vehicle without Official Certif. of Inspection / 9501 Bench Warrant / 1543 Driving While Operating Privilege is Suspended or Revoked.,2017,2,5,-80.0556574177532,40.4614552118571
213324866,19207958,10,2019-10-12T03:39:00,"900 Block Penn Ave Pittsburgh, PA 15222",Y,Central Business District,2,SIMPLE ASSAULT,2701 Simple Assault. / 3304 Criminal Mischief.,201,6,6,-79.9980468769971,40.4436186700538
213336381,19208237,27,2019-10-12T14:00:00,"800 Block Spring Garden Ave Pittsburgh, PA 15212",N,East Allegheny,1,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,2304,1,1,-79.997742583609,40.4573850268306
213345786,19208427,10,2019-10-12T19:45:00,"300 Block Oregon St Pittsburgh, PA 15204",Y,Esplen,6,SIMPLE ASSAULT,2701 Simple Assault. / 9501 Bench Warrant,2017,2,5,-80.0533786224873,40.4615948259028
213361994,19208937,27,2019-10-12T16:05:00,"100 Block S 15th St Pittsburgh, PA 15203",N,South Side Flats,3,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,1702,3,3,-79.9834736255513,40.4279527652261
213332263,19208102,99,2019-10-12T10:30:00,"400 Block E Warrington Ave Pittsburgh, PA 15210",N,Beltzhoover,3,FOUND PROPERTY,9489 Found Property,1809,3,5,-80.0000780646194,40.4207390896467
-3319002303,19208240,0,2019-10-12T13:35:00,"200 Block Mc Kee Pl Pittsburgh, PA 15213",N,Central Oakland,4,99,9999 9999 - (Misc. Incident): ,405,3,3,-79.9594184918264,40.4397624058088
213378704,19207958,10,2019-10-12T03:39:00,"900 Block Penn Ave Pittsburgh, PA 15222",Y,Central Business District,2,SIMPLE ASSAULT,2701 Simple Assault. / 3304 Criminal Mischief.,201,6,6,-79.9980468769971,40.4436186700538
213442207,19210010,99,2019-10-14T21:17:00,"300 Block E North Ave Pittsburgh, PA 15212",N,Allegheny Center,1,MISSING PERSONS (18+),9490 Missing Persons (18 and Over),2204,,,-79.8427960425285,40.4125315408834
213752848,19212664,0,2019-10-18T13:10:00,"600 Block Commonwealth Pl Pittsburgh, PA 15222",N,Central Business District,2,99,9999 9999 - (Misc. Incident): ,201,6,6,-80.0064088164826,40.4417408925392
213528598,19210831,4,2019-10-15T21:28:00,"6400 Block Apple Ave E Pittsburgh, PA 15206",Y,Lincoln-Lemington-Belmar,5,AGG-ASSAULT,2702 Aggravated Assault. / 5104 Resisting Arrest or Other Law Enforcement. / 2706 Terroristic Threats. / 9501 Bench Warrant,1203,,,0,0
213532893,19210865,3,2019-10-15T23:09:00,"2400 Block Perrysville Ave Pittsburgh, PA 15214",N,Perry South,1,ROBBERY,3701 Robbery. / 2705 Recklessly Endangering Another Person. / 5506 Loitering and Prowling at Night,2614,,,0,0
213572580,19211222,0,2019-10-16T13:30:00,"1600 Block Spring Garden Ave Pittsburgh, PA 15212",N,Spring Garden,1,99,9993 PFA Service with Weapons Supplement,2412,1,1,-79.9852949634079,40.466162807489
213665611,19212115,11,2019-10-17T14:00:00,"5900 Block Centre Ave Pittsburgh, PA 15206",N,Shadyside,4,THEFT BY DECEPTION,3922 Theft by Deception.,705,,,0,0
213341940,19208278,27,2019-10-12T01:45:00,"S 16th Trwy & E Carson St Pittsburgh, PA 15203",N,South Side Flats,3,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,1702,3,3,-79.9828313417294,40.4288374283505
213593645,19211415,6,2019-10-16T18:00:00,"6900 Block Hamilton Ave Pittsburgh, PA 15208",N,Homewood West,5,THEFT,3921 Theft by Unlawful Taking or Disposition.,1207,9,2,-79.9047251973376,40.4562718127453
213596501,19211459,29,2019-10-16T19:15:00,"100 Block Rochelle Trwy Pittsburgh, PA 15210",N,Knoxville,3,RUNAWAYS - JUVENILE,029 Missing Juvenile,3001,3,5,-79.9881100899007,40.4151750679869
